Cancer Type	Year	Age Group (years)	Age-Specific Rate	Case Count	Population
All Types of Cancer	2018	'<1'	25.9	980	3779884
All Types of Cancer	2018	'1-4'	21.4	3387	15797519
All Types of Cancer	2018	'5-9'	12.9	2576	19996754
All Types of Cancer	2018	'10-14'	15.7	3251	20671678
All Types of Cancer	2018	'15-19'	23.9	4984	20883816
All Types of Cancer	2018	'20-24'	37	8001	21626504
All Types of Cancer	2018	'25-29'	58.5	13613	23284121
All Types of Cancer	2018	'30-34'	96.6	21144	21882038
All Types of Cancer	2018	'35-39'	144.8	30873	21321860
All Types of Cancer	2018	'40-44'	230.7	44970	19489987
All Types of Cancer	2018	'45-49'	351.6	72133	20517822
All Types of Cancer	2018	'50-54'	555.2	114739	20666120
All Types of Cancer	2018	'55-59'	824.8	179186	21723868
All Types of Cancer	2018	'60-64'	1167.9	235042	20124785
All Types of Cancer	2018	'65-69'	1592.8	269296	16907043
All Types of Cancer	2018	'70-74'	1892.6	250754	13249265
All Types of Cancer	2018	'75-79'	2125.1	194747	9163937
All Types of Cancer	2018	'80-84'	2194.7	133267	6072323
All Types of Cancer	2018	'85+'	1937.9	125978	6500836
